p,Run,Result
0.15000000000000002,23,0
0.15000000000000002,24,0
0.15000000000000002,25,0
0.15000000000000002,26,0
0.15000000000000002,27,0
0.15000000000000002,28,0
0.15000000000000002,29,0
0.15000000000000002,30,0
0.15000000000000002,31,0
0.15000000000000002,32,0
0.15000000000000002,33,0
0.15000000000000002,34,0
0.15000000000000002,35,0
0.15000000000000002,36,0
0.15000000000000002,37,0
0.15000000000000002,38,0
0.15000000000000002,39,0
0.15000000000000002,40,0
0.15000000000000002,41,0
0.15000000000000002,42,0
0.15000000000000002,43,0
0.15000000000000002,44,0
0.15000000000000002,45,0
0.15000000000000002,46,0
0.15000000000000002,47,0
0.15000000000000002,48,0
0.15000000000000002,49,0
0.15000000000000002,50,0
0.15000000000000002,51,0
0.15000000000000002,52,0
0.15000000000000002,53,0
0.15000000000000002,54,0
0.15000000000000002,55,0
0.15000000000000002,56,0
0.15000000000000002,57,0
0.15000000000000002,58,0
0.15000000000000002,59,0
0.15000000000000002,60,0
0.15000000000000002,61,0
0.15000000000000002,62,0
0.15000000000000002,63,0
0.15000000000000002,64,0
0.15000000000000002,65,0
0.15000000000000002,66,0
0.15000000000000002,67,0
0.15000000000000002,68,0
0.15000000000000002,69,0
0.15000000000000002,70,0
0.15000000000000002,71,0
0.15000000000000002,72,0
0.15000000000000002,73,0
0.15000000000000002,74,0
0.15000000000000002,75,0
0.15000000000000002,76,0
0.15000000000000002,77,0
0.15000000000000002,78,0
0.15000000000000002,79,0
0.15000000000000002,80,0
0.15000000000000002,81,0
0.15000000000000002,82,0
0.15000000000000002,83,0
0.15000000000000002,84,0
0.15000000000000002,85,0
0.15000000000000002,86,0
0.15000000000000002,87,0
0.15000000000000002,88,0
0.15000000000000002,89,0
0.15000000000000002,90,0
0.15000000000000002,91,0
0.15000000000000002,92,0
0.15000000000000002,93,0
0.15000000000000002,94,0
0.15000000000000002,95,0
0.15000000000000002,96,0
0.15000000000000002,97,0
0.15000000000000002,98,0
0.15000000000000002,99,0
0.15000000000000002,100,0
0.2,1,0
0.2,2,0
0.2,3,0
0.2,4,0
0.2,5,0
0.2,6,0
0.2,7,0
0.2,8,0
0.2,9,0
0.2,10,0
0.2,11,0
0.2,12,0
0.2,13,0
0.2,14,0
0.2,15,0
0.2,16,0
0.2,17,0
0.2,18,0
0.2,19,0
0.2,20,0
0.2,21,0
0.2,22,0
0.2,23,0
0.2,24,0
0.2,25,0
0.2,26,0
0.2,27,0
0.2,28,0
0.2,29,0
0.2,30,0
0.2,31,0
0.2,32,0
0.2,33,0
0.2,34,0
0.2,35,0
0.2,36,0
0.2,37,0
0.2,38,0
0.2,39,0
0.2,40,0
0.2,41,0
0.2,42,0
0.2,43,0
0.2,44,0
0.2,45,0
0.2,46,0
0.2,47,0
0.2,48,0
0.2,49,0
0.2,50,0
0.2,51,0
0.2,52,0
0.2,53,0
0.2,54,0
0.2,55,0
0.2,56,0
0.2,57,0
0.2,58,0
0.2,59,0
0.2,60,0
0.2,61,0
0.2,62,0
0.2,63,0
0.2,64,0
0.2,65,0
0.2,66,0
0.2,67,0
0.2,68,0
0.2,69,0
0.2,70,0
0.2,71,0
0.2,72,0
0.2,73,0
0.2,74,0
0.2,75,0
0.2,76,0
0.2,77,0
0.2,78,0
0.2,79,0
0.2,80,0
0.2,81,0
0.2,82,0
0.2,83,0
0.2,84,0
0.2,85,0
0.2,86,0
0.2,87,0
0.2,88,0
0.2,89,0
0.2,90,0
0.2,91,0
0.2,92,0
0.2,93,0
0.2,94,0
0.2,95,0
0.2,96,0
0.2,97,0
0.2,98,0
0.2,99,0
0.2,100,0
0.25,1,0
0.25,2,0
0.25,3,0
0.25,4,0
0.25,5,0
0.25,6,0
0.25,7,0
0.25,8,0
0.25,9,0
0.25,10,0
0.25,11,0
0.25,12,0
0.25,13,0
0.25,14,0
0.25,15,0
0.25,16,0
0.25,17,0
0.25,18,0
0.25,19,0
0.25,20,0
0.25,21,0
0.25,22,0
0.25,23,0
0.25,24,0
0.25,25,0
0.25,26,0
0.25,27,0
0.25,28,0
0.25,29,0
0.25,30,0
0.25,31,0
0.25,32,0
0.25,33,0
0.25,34,0
0.25,35,0
0.25,36,0
0.25,37,0
0.25,38,0
0.25,39,0
0.25,40,0
0.25,41,0
0.25,42,0
0.25,43,0
0.25,44,0
0.25,45,0
0.25,46,0
0.25,47,0
0.25,48,0
0.25,49,0
0.25,50,0
0.25,51,0
0.25,52,0
0.25,53,0
0.25,54,0
0.25,55,0
0.25,56,0
0.25,57,0
0.25,58,0
0.25,59,0
0.25,60,0
0.25,61,0
0.25,62,0
0.25,63,0
0.25,64,0
0.25,65,0
0.25,66,0
0.25,67,0
0.25,68,0
0.25,69,0
0.25,70,0
0.25,71,0
0.25,72,0
0.25,73,0
0.25,74,0
0.25,75,0
0.25,76,0
0.25,77,0
0.25,78,0
0.25,79,0
0.25,80,0
0.25,81,0
0.25,82,0
0.25,83,0
0.25,84,0
0.25,85,0
0.25,86,0
0.25,87,0
0.25,88,0
0.25,89,0
0.25,90,0
0.25,91,0
0.25,92,0
0.25,93,0
0.25,94,0
0.25,95,0
0.25,96,0
0.25,97,0
0.25,98,0
0.25,99,0
0.25,100,0
0.30000000000000004,1,0
0.30000000000000004,2,0
0.30000000000000004,3,0
0.30000000000000004,4,0
0.30000000000000004,5,0
0.30000000000000004,6,0
0.30000000000000004,7,0
0.30000000000000004,8,0
0.30000000000000004,9,0
0.30000000000000004,10,0
0.30000000000000004,11,0
0.30000000000000004,12,0
0.30000000000000004,13,0
0.30000000000000004,14,0
0.30000000000000004,15,0
0.30000000000000004,16,0
0.30000000000000004,17,0
0.30000000000000004,18,0
0.30000000000000004,19,0
0.30000000000000004,20,0
0.30000000000000004,21,0
0.30000000000000004,22,0
0.30000000000000004,23,0
0.30000000000000004,24,0
0.30000000000000004,25,0
0.30000000000000004,26,0
0.30000000000000004,27,0
0.30000000000000004,28,0
0.30000000000000004,29,0
0.30000000000000004,30,0
0.30000000000000004,31,0
0.30000000000000004,32,0
0.30000000000000004,33,0
0.30000000000000004,34,0
0.30000000000000004,35,0
0.30000000000000004,36,0
0.30000000000000004,37,0
0.30000000000000004,38,0
0.30000000000000004,39,0
0.30000000000000004,40,0
0.30000000000000004,41,0
0.30000000000000004,42,0
0.30000000000000004,43,0
0.30000000000000004,44,0
0.30000000000000004,45,0
0.30000000000000004,46,0
0.30000000000000004,47,0
0.30000000000000004,48,0
0.30000000000000004,49,0
0.30000000000000004,50,0
0.30000000000000004,51,0
0.30000000000000004,52,0
0.30000000000000004,53,0
0.30000000000000004,54,0
0.30000000000000004,55,0
0.30000000000000004,56,0
0.30000000000000004,57,0
0.30000000000000004,58,0
0.30000000000000004,59,0
0.30000000000000004,60,0
0.30000000000000004,61,0
0.30000000000000004,62,0
0.30000000000000004,63,0
0.30000000000000004,64,0
0.30000000000000004,65,0
0.30000000000000004,66,0
0.30000000000000004,67,0
0.30000000000000004,68,0
0.30000000000000004,69,0
0.30000000000000004,70,0
0.30000000000000004,71,0
0.30000000000000004,72,0
0.30000000000000004,73,0
0.30000000000000004,74,0
0.30000000000000004,75,0
0.30000000000000004,76,0
0.30000000000000004,77,0
0.30000000000000004,78,0
0.30000000000000004,79,0
0.30000000000000004,80,0
0.30000000000000004,81,0
0.30000000000000004,82,0
0.30000000000000004,83,0
0.30000000000000004,84,0
0.30000000000000004,85,0
0.30000000000000004,86,0
0.30000000000000004,87,0
0.30000000000000004,88,0
0.30000000000000004,89,0
0.30000000000000004,90,0
0.30000000000000004,91,0
0.30000000000000004,92,0
0.30000000000000004,93,0
0.30000000000000004,94,0
0.30000000000000004,95,0
0.30000000000000004,96,0
0.30000000000000004,97,0
0.30000000000000004,98,0
0.30000000000000004,99,0
0.30000000000000004,100,0
0.35000000000000003,1,0
0.35000000000000003,2,0
0.35000000000000003,3,0
0.35000000000000003,4,0
0.35000000000000003,5,0
0.35000000000000003,6,0
0.35000000000000003,7,0
0.35000000000000003,8,0
0.35000000000000003,9,0
0.35000000000000003,10,0
0.35000000000000003,11,0
0.35000000000000003,12,0
0.35000000000000003,13,0
0.35000000000000003,14,0
0.35000000000000003,15,0
0.35000000000000003,16,0
0.35000000000000003,17,0
0.35000000000000003,18,0
0.35000000000000003,19,0
0.35000000000000003,20,0
0.35000000000000003,21,0
0.35000000000000003,22,0
0.35000000000000003,23,0
0.35000000000000003,24,0
0.35000000000000003,25,0
0.35000000000000003,26,0
0.35000000000000003,27,0
0.35000000000000003,28,0
0.35000000000000003,29,0
0.35000000000000003,30,0
0.35000000000000003,31,0
0.35000000000000003,32,0
0.35000000000000003,33,0
0.35000000000000003,34,0
0.35000000000000003,35,0
0.35000000000000003,36,0
0.35000000000000003,37,0
0.35000000000000003,38,0
0.35000000000000003,39,0
0.35000000000000003,40,0
0.35000000000000003,41,0
0.35000000000000003,42,0
0.35000000000000003,43,0
0.35000000000000003,44,0
0.35000000000000003,45,0
0.35000000000000003,46,0
0.35000000000000003,47,0
0.35000000000000003,48,0
0.35000000000000003,49,0
0.35000000000000003,50,0
0.35000000000000003,51,0
0.35000000000000003,52,0
0.35000000000000003,53,0
0.35000000000000003,54,0
0.35000000000000003,55,0
0.35000000000000003,56,0
0.35000000000000003,57,0
0.35000000000000003,58,0
0.35000000000000003,59,0
0.35000000000000003,60,0
0.35000000000000003,61,0
0.35000000000000003,62,0
0.35000000000000003,63,0
0.35000000000000003,64,0
0.35000000000000003,65,0
0.35000000000000003,66,0
0.35000000000000003,67,0
0.35000000000000003,68,0
0.35000000000000003,69,0
0.35000000000000003,70,0
0.35000000000000003,71,0
0.35000000000000003,72,0
0.35000000000000003,73,0
0.35000000000000003,74,0
0.35000000000000003,75,0
0.35000000000000003,76,0
0.35000000000000003,77,0
0.35000000000000003,78,0
0.35000000000000003,79,0
0.35000000000000003,80,0
0.35000000000000003,81,0
0.35000000000000003,82,0
0.35000000000000003,83,0
0.35000000000000003,84,0
0.35000000000000003,85,0
0.35000000000000003,86,0
0.35000000000000003,87,0
0.35000000000000003,88,0
0.35000000000000003,89,0
0.35000000000000003,90,0
0.35000000000000003,91,0
0.35000000000000003,92,0
0.35000000000000003,93,0
0.35000000000000003,94,0
0.35000000000000003,95,0
0.35000000000000003,96,0
0.35000000000000003,97,0
0.35000000000000003,98,0
0.35000000000000003,99,0
0.35000000000000003,100,0
0.4,1,0
0.4,2,0
0.4,3,0
0.4,4,0
0.4,5,0
0.4,6,0
0.4,7,0
0.4,8,0
0.4,9,0
0.4,10,0
0.4,11,0
0.4,12,0
0.4,13,0
0.4,14,0
0.4,15,0
0.4,16,0
0.4,17,0
0.4,18,0
0.4,19,0
0.4,20,0
0.4,21,0
0.4,22,0
0.4,23,0
0.4,24,0
0.4,25,0
0.4,26,0
0.4,27,0
0.4,28,0
0.4,29,0
0.4,30,0
0.4,31,0
0.4,32,0
0.4,33,0
0.4,34,0
0.4,35,0
0.4,36,0
0.4,37,0
0.4,38,0
0.4,39,0
0.4,40,0
0.4,41,0
0.4,42,0
0.4,43,0
0.4,44,0
0.4,45,0
0.4,46,0
0.4,47,0
0.4,48,0
0.4,49,0
0.4,50,0
0.4,51,0
0.4,52,0
0.4,53,0
0.4,54,0
0.4,55,0
0.4,56,0
0.4,57,0
0.4,58,0
0.4,59,0
0.4,60,0
0.4,61,0
0.4,62,0
0.4,63,0
0.4,64,0
0.4,65,0
0.4,66,0
0.4,67,0
0.4,68,0
0.4,69,0
0.4,70,0
0.4,71,0
0.4,72,0
0.4,73,0
0.4,74,0
0.4,75,0
0.4,76,0
0.4,77,0
0.4,78,0
0.4,79,0
0.4,80,0
0.4,81,0
0.4,82,0
0.4,83,0
0.4,84,0
0.4,85,0
0.4,86,0
0.4,87,0
0.4,88,0
0.4,89,0
0.4,90,0
0.4,91,0
0.4,92,0
0.4,93,0
0.4,94,0
0.4,95,0
0.4,96,0
0.4,97,0
0.4,98,0
0.4,99,0
0.4,100,0
0.45,1,0
0.45,2,0
0.45,3,0
0.45,4,0
0.45,5,0
0.45,6,0
0.45,7,0
0.45,8,0
0.45,9,0
0.45,10,0
0.45,11,0
0.45,12,0
0.45,13,0
0.45,14,0
0.45,15,0
0.45,16,0
0.45,17,0
0.45,18,0
0.45,19,0
0.45,20,0
0.45,21,0
0.45,22,0
0.45,23,0
0.45,24,0
0.45,25,0
0.45,26,0
0.45,27,0
0.45,28,0
0.45,29,0
0.45,30,0
0.45,31,0
0.45,32,0
0.45,33,0
0.45,34,0
0.45,35,0
0.45,36,0
0.45,37,0
0.45,38,0
0.45,39,0
0.45,40,0
0.45,41,0
0.45,42,0
0.45,43,0
0.45,44,0
0.45,45,0
0.45,46,0
0.45,47,0
0.45,48,0
0.45,49,0
0.45,50,0
0.45,51,0
0.45,52,0
0.45,53,0
0.45,54,0
0.45,55,0
0.45,56,0
0.45,57,0
0.45,58,0
0.45,59,0
0.45,60,0
0.45,61,0
0.45,62,0
0.45,63,0
0.45,64,0
0.45,65,0
0.45,66,0
0.45,67,0
0.45,68,0
0.45,69,0
0.45,70,0
0.45,71,0
0.45,72,0
0.45,73,0
0.45,74,0
0.45,75,0
0.45,76,0
0.45,77,0
0.45,78,0
0.45,79,0
0.45,80,0
0.45,81,0
0.45,82,0
0.45,83,0
0.45,84,0
0.45,85,0
0.45,86,0
0.45,87,0
0.45,88,0
0.45,89,0
0.45,90,0
0.45,91,0
0.45,92,0
0.45,93,0
0.45,94,0
0.45,95,0
0.45,96,0
0.45,97,0
0.45,98,0
0.45,99,0
0.45,100,0
0.5,1,1
0.5,2,1
0.5,3,1
0.5,4,1
0.5,5,0
0.5,6,1
0.5,7,1
0.5,8,0
0.5,9,0
0.5,10,1
0.5,11,1
0.5,12,1
0.5,13,0
0.5,14,0
0.5,15,1
0.5,16,1
0.5,17,0
0.5,18,1
0.5,19,1
0.5,20,0
0.5,21,0
0.5,22,0
0.5,23,0
0.5,24,1
0.5,25,0
0.5,26,0
0.5,27,0
0.5,28,0
0.5,29,1
0.5,30,0
0.5,31,0
0.5,32,1
0.5,33,1
0.5,34,0
0.5,35,1
0.5,36,0
0.5,37,0
0.5,38,1
0.5,39,0
0.5,40,0
0.5,41,0
0.5,42,0
0.5,43,1
0.5,44,0
0.5,45,0
0.5,46,0
0.5,47,0
0.5,48,1
0.5,49,0
0.5,50,0
0.5,51,0
0.5,52,0
0.5,53,1
0.5,54,1
0.5,55,0
0.5,56,1
0.5,57,0
0.5,58,1
0.5,59,1
0.5,60,1
0.5,61,0
0.5,62,0
0.5,63,1
0.5,64,0
0.5,65,1
0.5,66,0
0.5,67,1
0.5,68,0
0.5,69,0
0.5,70,1
0.5,71,0
0.5,72,0
0.5,73,0
0.5,74,1
0.5,75,0
0.5,76,0
0.5,77,1
0.5,78,1
0.5,79,1
0.5,80,0
0.5,81,0
0.5,82,1
0.5,83,1
0.5,84,0
0.5,85,0
0.5,86,1
0.5,87,1
0.5,88,0
0.5,89,1
0.5,90,0
0.5,91,0
0.5,92,0
0.5,93,1
0.5,94,1
0.5,95,0
0.5,96,0
0.5,97,1
0.5,98,0
0.5,99,1
0.5,100,0
0.55,1,1
0.55,2,1
0.55,3,1
0.55,4,1
0.55,5,1
0.55,6,1
0.55,7,1
0.55,8,1
0.55,9,1
0.55,10,1
0.55,11,1
0.55,12,1
0.55,13,1
0.55,14,1
0.55,15,1
0.55,16,1
0.55,17,1
0.55,18,1
0.55,19,1
0.55,20,1
0.55,21,1
0.55,22,1
0.55,23,1
0.55,24,1
0.55,25,1
0.55,26,1
0.55,27,1
0.55,28,1
0.55,29,1
0.55,30,1
0.55,31,1
0.55,32,1
0.55,33,1
0.55,34,1
0.55,35,1
0.55,36,1
0.55,37,1
0.55,38,1
0.55,39,1
0.55,40,1
0.55,41,1
0.55,42,1
0.55,43,1
0.55,44,1
0.55,45,1
0.55,46,1
0.55,47,1
0.55,48,1
0.55,49,1
0.55,50,1
0.55,51,1
0.55,52,1
0.55,53,1
0.55,54,1
0.55,55,1
0.55,56,1
0.55,57,1
0.55,58,1
0.55,59,1
0.55,60,1
0.55,61,1
0.55,62,1
0.55,63,1
0.55,64,1
0.55,65,1
0.55,66,1
0.55,67,1
0.55,68,1
0.55,69,1
0.55,70,1
0.55,71,1
0.55,72,1
0.55,73,1
0.55,74,1
0.55,75,1
0.55,76,1
0.55,77,1
0.55,78,1
0.55,79,1
0.55,80,1
0.55,81,1
0.55,82,1
0.55,83,1
0.55,84,1
0.55,85,1
0.55,86,1
0.55,87,1
0.55,88,1
0.55,89,1
0.55,90,1
0.55,91,1
0.55,92,1
0.55,93,1
0.55,94,1
0.55,95,1
0.55,96,1
0.55,97,1
0.55,98,1
0.55,99,1
0.55,100,1
0.6000000000000001,1,1
0.6000000000000001,2,1
0.6000000000000001,3,1
0.6000000000000001,4,1
0.6000000000000001,5,1
0.6000000000000001,6,1
0.6000000000000001,7,1
0.6000000000000001,8,1
0.6000000000000001,9,1
0.6000000000000001,10,1
0.6000000000000001,11,1
0.6000000000000001,12,1
0.6000000000000001,13,1
0.6000000000000001,14,1
0.6000000000000001,15,1
0.6000000000000001,16,1
0.6000000000000001,17,1
0.6000000000000001,18,1
0.6000000000000001,19,1
0.6000000000000001,20,1
0.6000000000000001,21,1
0.6000000000000001,22,1
0.6000000000000001,23,1
0.6000000000000001,24,1
0.6000000000000001,25,1
0.6000000000000001,26,1
0.6000000000000001,27,1
0.6000000000000001,28,1
0.6000000000000001,29,1
0.6000000000000001,30,1
0.6000000000000001,31,1
0.6000000000000001,32,1
0.6000000000000001,33,1
0.6000000000000001,34,1
0.6000000000000001,35,1
0.6000000000000001,36,1
0.6000000000000001,37,1
0.6000000000000001,38,1
0.6000000000000001,39,1
0.6000000000000001,40,1
0.6000000000000001,41,1
0.6000000000000001,42,1
0.6000000000000001,43,1
0.6000000000000001,44,1
0.6000000000000001,45,1
0.6000000000000001,46,1
0.6000000000000001,47,1
0.6000000000000001,48,1
0.6000000000000001,49,1
0.6000000000000001,50,1
0.6000000000000001,51,1
0.6000000000000001,52,1
0.6000000000000001,53,1
0.6000000000000001,54,1
0.6000000000000001,55,1
0.6000000000000001,56,1
0.6000000000000001,57,1
0.6000000000000001,58,1
0.6000000000000001,59,1
0.6000000000000001,60,1
0.6000000000000001,61,1
0.6000000000000001,62,1
0.6000000000000001,63,1
0.6000000000000001,64,1
0.6000000000000001,65,1
0.6000000000000001,66,1
0.6000000000000001,67,1
0.6000000000000001,68,1
0.6000000000000001,69,1
0.6000000000000001,70,1
0.6000000000000001,71,1
0.6000000000000001,72,1
0.6000000000000001,73,1
0.6000000000000001,74,1
0.6000000000000001,75,1
0.6000000000000001,76,1
0.6000000000000001,77,1
0.6000000000000001,78,1
0.6000000000000001,79,1
0.6000000000000001,80,1
0.6000000000000001,81,1
0.6000000000000001,82,1
0.6000000000000001,83,1
0.6000000000000001,84,1
0.6000000000000001,85,1
0.6000000000000001,86,1
0.6000000000000001,87,1
0.6000000000000001,88,1
0.6000000000000001,89,1
0.6000000000000001,90,1
0.6000000000000001,91,1
0.6000000000000001,92,1
0.6000000000000001,93,1
0.6000000000000001,94,1
0.6000000000000001,95,1
0.6000000000000001,96,1
0.6000000000000001,97,1
0.6000000000000001,98,1
0.6000000000000001,99,1
0.6000000000000001,100,1
0.65,1,1
0.65,2,1
0.65,3,1
0.65,4,1
0.65,5,1
0.65,6,1
0.65,7,1
0.65,8,1
0.65,9,1
0.65,10,1
0.65,11,1
0.65,12,1
0.65,13,1
0.65,14,1
0.65,15,1
0.65,16,1
0.65,17,1
0.65,18,1
0.65,19,1
0.65,20,1
0.65,21,1
0.65,22,1
0.65,23,1
0.65,24,1
0.65,25,1
0.65,26,1
0.65,27,1
0.65,28,1
0.65,29,1
0.65,30,1
0.65,31,1
0.65,32,1
0.65,33,1
0.65,34,1
0.65,35,1
0.65,36,1
0.65,37,1
0.65,38,1
0.65,39,1
0.65,40,1
0.65,41,1
0.65,42,1
0.65,43,1
0.65,44,1
0.65,45,1
0.65,46,1
0.65,47,1
0.65,48,1
0.65,49,1
0.65,50,1
0.65,51,1
0.65,52,1
0.65,53,1
0.65,54,1
0.65,55,1
0.65,56,1
0.65,57,1
0.65,58,1
0.65,59,1
0.65,60,1
0.65,61,1
0.65,62,1
0.65,63,1
0.65,64,1
0.65,65,1
0.65,66,1
0.65,67,1
0.65,68,1
0.65,69,1
0.65,70,1
0.65,71,1
0.65,72,1
0.65,73,1
0.65,74,1
0.65,75,1
0.65,76,1
0.65,77,1
0.65,78,1
0.65,79,1
0.65,80,1
0.65,81,1
0.65,82,1
0.65,83,1
0.65,84,1
0.65,85,1
0.65,86,1
0.65,87,1
0.65,88,1
0.65,89,1
0.65,90,1
0.65,91,1
0.65,92,1
0.65,93,1
0.65,94,1
0.65,95,1
0.65,96,1
0.65,97,1
0.65,98,1
0.65,99,1
0.65,100,1
0.7000000000000001,1,1
0.7000000000000001,2,1
0.7000000000000001,3,1
0.7000000000000001,4,1
0.7000000000000001,5,1
0.7000000000000001,6,1
0.7000000000000001,7,1
0.7000000000000001,8,1
0.7000000000000001,9,1
0.7000000000000001,10,1
0.7000000000000001,11,1
0.7000000000000001,12,1
0.7000000000000001,13,1
0.7000000000000001,14,1
0.7000000000000001,15,1
0.7000000000000001,16,1
0.7000000000000001,17,1
0.7000000000000001,18,1
0.7000000000000001,19,1
0.7000000000000001,20,1
0.7000000000000001,21,1
0.7000000000000001,22,1
0.7000000000000001,23,1
0.7000000000000001,24,1
0.7000000000000001,25,1
0.7000000000000001,26,1
0.7000000000000001,27,1
0.7000000000000001,28,1
0.7000000000000001,29,1
0.7000000000000001,30,1
0.7000000000000001,31,1
0.7000000000000001,32,1
0.7000000000000001,33,1
0.7000000000000001,34,1
0.7000000000000001,35,1
0.7000000000000001,36,1
0.7000000000000001,37,1
0.7000000000000001,38,1
0.7000000000000001,39,1
0.7000000000000001,40,1
0.7000000000000001,41,1
0.7000000000000001,42,1
0.7000000000000001,43,1
0.7000000000000001,44,1
0.7000000000000001,45,1
0.7000000000000001,46,1
0.7000000000000001,47,1
0.7000000000000001,48,1
0.7000000000000001,49,1
0.7000000000000001,50,1
0.7000000000000001,51,1
0.7000000000000001,52,1
0.7000000000000001,53,1
0.7000000000000001,54,1
0.7000000000000001,55,1
0.7000000000000001,56,1
0.7000000000000001,57,1
0.7000000000000001,58,1
0.7000000000000001,59,1
0.7000000000000001,60,1
